group,names,scores,logfoldchanges,pvals,pvals_adj
16,ENSG00000162367,-0.969393,,0.33234913251329723,0.5074032557454919
16,ENSG00000286891,-0.9765227,3.5746763,0.32880551155137616,0.5023766410257848
16,ENSG00000172296,-0.9793515,7.8853154,0.3274063288537131,0.5006212979414574
16,ENSG00000249782,-1.0012832,6.958353,0.31668990415276554,0.4849768823166394
16,ENSG00000273409,-1.0018507,,0.3164157039176627,0.4849282818661498
16,ENSG00000138696,-1.0136828,,0.31073410224882947,0.4765860463939102
16,ENSG00000167613,-1.0164826,,0.3093996228727244,0.4749034886764764
16,ENSG00000134207,-1.019488,10.823376,0.3079713310891051,0.4730742413043089
16,ENSG00000227502,-1.0209278,,0.3072886705143145,0.4723884250796534
16,ENSG00000227330,-1.0287918,7.2346644,0.30357751668563526,0.46704233336251577
16,ENSG00000158813,-1.0350083,,0.3006650238131304,0.4629176656091308
16,ENSG00000041982,-1.0433224,7.427079,0.29679895565983805,0.45731734308141453
16,ENSG00000257258,-1.0533618,,0.2921752311722272,0.4511823999608214
16,ENSG00000101187,-1.0549598,5.283607,0.2914437326064594,0.4504539916637703
16,ENSG00000164674,-1.057782,11.225941,0.2901547896686484,0.44880864604585985
16,ENSG00000286438,-1.0585725,5.9292054,0.28979451536729117,0.4485983210019987
16,ENSG00000100055,-1.0652769,,0.28675067930368603,0.44423033199641526
16,ENSG00000066294,-1.0661479,,0.28635675698433616,0.44396396431680024
16,ENSG00000250723,-1.072484,,0.2835026900810216,0.43988004667342373
16,ENSG00000116711,-1.0768957,,0.2815268331236511,0.4371534675833092
16,ENSG00000150782,-1.0834321,,0.2786166730079751,0.43297074282513615
16,ENSG00000248869,-1.0861781,,0.2774002450319696,0.4314156221337007
16,ENSG00000115956,-1.0875198,7.0081563,0.2768071825590833,0.43082829970285347
16,ENSG00000110079,-1.0911486,7.7580523,0.2752074849311177,0.428672094908283
16,ENSG00000138964,-1.1037248,,0.2697124977900033,0.4207683272854965
16,ENSG00000288016,-1.1071159,7.822345,0.26824386155009317,0.4188038431695444
16,ENSG00000286481,-1.108015,,0.2678553559990179,0.41852399374846544
16,ENSG00000155926,-1.109528,,0.2672025161607642,0.41783036147109337
16,ENSG00000112149,-1.1119691,4.162636,0.2661514525635881,0.4165124453264289
16,ENSG00000110324,-1.1125731,,0.2658917924135541,0.41643193800086786
16,ENSG00000286321,-1.1135616,,0.26546727029076167,0.41609290014225964
16,ENSG00000172578,-1.1213493,,0.26213921169157883,0.41119876343777073
16,ENSG00000166265,-1.1286803,5.0553336,0.2590327135462769,0.40664476223905316
16,ENSG00000137841,-1.1348107,,0.25645464598947587,0.40291381930789616
16,ENSG00000173077,-1.1426607,7.9616218,0.2531794718107817,0.398080930520097
16,ENSG00000260223,-1.1522887,11.863682,0.24920247949538066,0.39244484959902465
16,ENSG00000136235,-1.1632637,,0.2447225457341392,0.3856935314958853
16,ENSG00000273112,-1.1701187,,0.24195319159822148,0.3819308470374452
16,ENSG00000253496,-1.1709716,,0.2416102021480988,0.3816906826984183
16,ENSG00000145703,-1.1816204,,0.23735639222367777,0.37526702327854194
16,ENSG00000090104,-1.1843156,,0.23628815502997735,0.37387366302211605
16,ENSG00000226926,-1.184419,7.6552267,0.23624725169833372,0.37387366302211605
16,ENSG00000134531,-1.1896966,6.5947146,0.23416570136680193,0.37110253782377484
16,ENSG00000196126,-1.1909865,,0.23365886986419715,0.3705929736149043
16,ENSG00000104972,-1.1920128,,0.23325624491374097,0.37024800779958883
16,ENSG00000160255,-1.1931876,,0.2327959217822092,0.36981083682638477
16,ENSG00000010327,-1.1947415,,0.2321880704981525,0.3691384268651073
16,ENSG00000258234,-1.1982497,,0.23081981145301222,0.36754747046658
16,ENSG00000232884,-1.2023008,,0.22924702796031737,0.3653339091001074
16,ENSG00000117525,-1.2078453,,0.2271067646657332,0.36221174587836236
16,ENSG00000154589,-1.2231212,,0.22128393286584136,0.3534143501502734
16,ENSG00000287795,-1.2349738,7.090897,0.2168402574544035,0.3472221896787886
16,ENSG00000275395,-1.2415026,6.1283827,0.21442014252662078,0.343622023279841
16,ENSG00000138685,-1.2418848,,0.21427904625934113,0.343622023279841
16,ENSG00000196369,-1.2565211,,0.20892710888005628,0.3353565150562701
16,ENSG00000162618,-1.2653359,,0.20575091629365316,0.33052356031108937
16,ENSG00000140968,-1.2734596,,0.2028550185792023,0.32613347038456963
16,ENSG00000281131,-1.2747668,,0.20239179025070053,0.3256505072416742
16,ENSG00000173391,-1.2752212,,0.20223094757723037,0.3256505072416742
16,ENSG00000138829,-1.2753386,,0.2021894180485435,0.3256505072416742
16,ENSG00000287216,-1.2763304,,0.20183876070812845,0.32554638823891685
16,ENSG00000173436,-1.2768192,,0.20166607005633985,0.32553037942912
16,ENSG00000110934,-1.289276,,0.19730216404112977,0.31874339909714017
16,ENSG00000287933,-1.2929211,,0.19603837689725734,0.3169577637789124
16,ENSG00000100311,-1.297898,,0.19432235028777078,0.3144374600125741
16,ENSG00000227531,-1.2992818,,0.19384722793124853,0.31392263632590856
16,ENSG00000169896,-1.3006278,,0.19338586553312587,0.3134292796322948
16,ENSG00000228655,-1.3230969,,0.18580315282798654,0.3016284948506275
16,ENSG00000204287,-1.336779,,0.18129476751618245,0.29478823986371133
16,ENSG00000250771,-1.3463607,,0.1781862341773639,0.28996946163932286
16,ENSG00000171643,-1.35343,,0.17591829451872976,0.2865118803236641
16,ENSG00000133246,-1.3636782,,0.17266887934893405,0.281448866094432
16,ENSG00000171659,-1.3799254,,0.1676096423282768,0.2734251914001253
16,ENSG00000237484,-1.3815513,,0.16710951028648802,0.27283185352896
16,ENSG00000285987,-1.3834282,7.4433928,0.1665336008275532,0.27233622375724154
16,ENSG00000260314,-1.3868407,8.958253,0.1654903474685624,0.27107346022696543
16,ENSG00000257335,-1.3872316,,0.16537116037287158,0.27107346022696543
16,ENSG00000249867,-1.3990055,,0.16181130752580286,0.2654820468019735
16,ENSG00000259647,-1.4029747,,0.16062436343005815,0.2637510072743155
16,ENSG00000174948,-1.4141027,,0.1573317549553861,0.2585567049390075
16,ENSG00000232079,-1.4164362,,0.15664784126888684,0.2578565288376738
16,ENSG00000019582,-1.424087,,0.1544212852284426,0.254820602687199
16,ENSG00000172243,-1.4305437,,0.152561044113815,0.25195878466360855
16,ENSG00000148908,-1.4307246,,0.15250916930664987,0.25195878466360855
16,ENSG00000038295,-1.4421755,,0.14925286105266447,0.2469029959514714
16,ENSG00000159399,-1.4508375,,0.1468251093917371,0.2430879294565184
16,ENSG00000168329,-1.4546248,,0.14577318479889192,0.24174657512254052
16,ENSG00000256995,-1.4636841,,0.14328029525414135,0.23800713497365672
16,ENSG00000109861,-1.4794477,,0.13902069862947294,0.23112335599247372
16,ENSG00000173369,-1.4937404,,0.13524348155846258,0.22521812083007922
16,ENSG00000119535,-1.4999084,,0.13363811364924238,0.22273018941540398
16,ENSG00000180353,-1.502341,,0.1330090601291821,0.22186665576177161
16,ENSG00000119042,-1.5044117,,0.1324753793041462,0.2211609003408117
16,ENSG00000237844,-1.50576,,0.1321288102092639,0.2207666001825629
16,ENSG00000127325,-1.507793,,0.1316075172566722,0.22007946029543846
16,ENSG00000249883,-1.5088171,,0.13134554244307742,0.21982517563694964
16,ENSG00000144227,-1.5107424,,0.13085409156158792,0.2191860830177352
16,ENSG00000236963,-1.5124804,,0.13041169231640407,0.2186281514105684
16,ENSG00000198108,-1.5318332,,0.1255636198580243,0.21067721452688642
16,ENSG00000253108,-1.5384545,,0.12393751917665774,0.20829835155740797
16,ENSG00000141968,-1.5418895,,0.12310042369175903,0.2070654729886611
16,ENSG00000115919,-1.5496535,,0.12122470131470342,0.20408198874529196
16,ENSG00000047457,-1.5538951,,0.1202094335034841,0.20254327464782493
16,ENSG00000018280,-1.5555868,,0.11980637395287767,0.20203435742475157
16,ENSG00000137834,-1.5559895,,0.11971057577874343,0.20203435742475157
16,ENSG00000187720,-1.5611583,,0.1184864004540424,0.20014594671290947
16,ENSG00000146192,-1.5633658,,0.11796657647779948,0.19943630850008365
16,ENSG00000157404,-1.5758764,,0.11505429659184663,0.1950072823590621
16,ENSG00000241743,-1.5764632,,0.11491908289778897,0.19494331280371327
16,ENSG00000171310,-1.5784048,,0.1144726519642527,0.19435085223132886
16,ENSG00000101311,-1.5916002,,0.11147456852819947,0.1897439464309778
16,ENSG00000286153,-1.6200607,,0.10521924057056815,0.17970835281053485
16,ENSG00000172673,-1.6219678,,0.10481025388597229,0.1791628271555082
16,ENSG00000178695,-1.6253457,,0.104088908088606,0.1780819642234491
16,ENSG00000075429,-1.6297715,,0.1031497983177908,0.1766263669825185
16,ENSG00000140678,-1.6320199,,0.10267529047182002,0.176115421049434
16,ENSG00000197520,-1.6381912,,0.10138181358019885,0.17404603189733708
16,ENSG00000180229,-1.6399583,,0.10101384241799091,0.17356330312369575
16,ENSG00000261371,-1.6477222,,0.09940969223676246,0.17124839317271742
16,ENSG00000110077,-1.6642579,,0.09606089631898157,0.16562223503272686
16,ENSG00000110799,-1.6705983,,0.09480105296637281,0.1635911181473215
16,ENSG00000114013,-1.675809,,0.0937756033680706,0.16196131842499242
16,ENSG00000162511,-1.6769031,,0.09356143335461035,0.16173108617910173
16,ENSG00000241956,-1.6820718,,0.09255490702903427,0.16012959693604545
16,ENSG00000006747,-1.6962051,,0.08984702709040236,0.15571408507868695
16,ENSG00000103257,-1.7146889,,0.08640227811047725,0.14987385621938812
16,ENSG00000265352,-1.7158821,,0.08618363601518567,0.14962436808191956
16,ENSG00000179715,-1.7170203,,0.08597547453874729,0.14939265775629415
16,ENSG00000240405,-1.7262475,,0.08430288569005186,0.14661371424356845
16,ENSG00000287684,-1.7319645,,0.08327989672060769,0.14496065573647987
16,ENSG00000234056,-1.7448584,,0.08100953120165899,0.14125463156348558
16,ENSG00000142347,-1.752815,,0.07963376714531026,0.1389769060127579
16,ENSG00000125089,-1.7537389,,0.07947525354630199,0.1388214035743266
16,ENSG00000286021,-1.7629511,,0.07790872676588725,0.13632323143637315
16,ENSG00000086991,-1.7675579,,0.07713485412622526,0.13508731020354686
16,ENSG00000227240,-1.7992036,,0.0719864833770906,0.12640295588602388
16,ENSG00000171189,-1.8018008,,0.0715767386662108,0.12579391681232127
16,ENSG00000121895,-1.8040212,,0.07122796813909886,0.1252910609306928
16,ENSG00000260930,-1.8241892,,0.06812347855750586,0.12004137190749932
16,ENSG00000092969,-1.8324021,,0.06689153265727134,0.11797448440435863
16,ENSG00000155307,-1.8329847,,0.06680484920290511,0.11792559435640795
16,ENSG00000253693,-1.8336124,,0.06671153972803816,0.11786491118027945
16,ENSG00000196562,-1.8825122,,0.05976650417035479,0.10568789420045056
16,ENSG00000105967,-1.8907521,,0.058657447133387525,0.10381849050157085
16,ENSG00000226622,-1.904866,,0.05679748767035132,0.10070476537296334
16,ENSG00000287801,-1.9089698,,0.05626598563281555,0.0998509061806842
16,ENSG00000145569,-1.909841,,0.05615369271543117,0.09974012915707137
16,ENSG00000053747,-1.9211131,,0.05471744038854504,0.09736199357392356
16,ENSG00000234715,-1.9438428,,0.05191440854322069,0.09270430097003694
16,ENSG00000233290,-1.9586244,,0.05015678925857302,0.08964573594025561
16,ENSG00000287616,-1.9597981,,0.0500193880753058,0.08948012178051126
16,ENSG00000150361,-1.9603182,,0.04995860393659574,0.08945139469399417
16,ENSG00000141506,-1.9627713,,0.04967275850788921,0.08901928048008818
16,ENSG00000170962,-1.9936105,,0.04619463972108952,0.08286034030688702
16,ENSG00000163219,-1.9969357,,0.045832167010842195,0.08235789220277125
16,ENSG00000197943,-1.998062,,0.045709930943441744,0.08221210601338443
16,ENSG00000258766,-2.030594,,0.04229619116017064,0.07614075816412356
16,ENSG00000163694,-2.0522673,,0.040143689310189745,0.07233097173007161
16,ENSG00000287704,-2.0611026,,0.039293244799861786,0.0708624793505172
